"Emissiebronnen";"Emissies naar lucht";"Perioden";"Emissies naar lucht (mln kg)"
"Vervoer";"Zwaveldioxide (SO2)";"2016";"     5.8"
"Vervoer";"Zwaveldioxide (SO2)";"2017";"     5.6"
"Vervoer";"Zwaveldioxide (SO2)";"2018";"     5.0"
"Vervoer";"Zwaveldioxide (SO2)";"2019";"     4.6"
"Vervoer";"Zwaveldioxide (SO2)";"2020";"     3.8"
"Vervoer";"Zwaveldioxide (SO2)";"2021";"     3.8"
"Vervoer";"Zwaveldioxide (SO2)";"2022";"     4.2"
"Vervoer";"Zwaveldioxide (SO2)";"2023*";"     3.9"
"Vervoer";"NMVOS";"1990";"   185.3"
"Vervoer";"NMVOS";"1995";"   119.3"
"Vervoer";"NMVOS";"2000";"    73.1"
"Vervoer";"NMVOS";"2001";"    66.8"
"Vervoer";"NMVOS";"2002";"    60.6"
"Vervoer";"NMVOS";"2003";"    56.1"
"Vervoer";"NMVOS";"2004";"    52.0"
"Vervoer";"NMVOS";"2005";"    47.3"
"Vervoer";"NMVOS";"2006";"    44.5"
"Vervoer";"NMVOS";"2007";"    41.3"
"Vervoer";"NMVOS";"2008";"    38.3"
"Vervoer";"NMVOS";"2009";"    35.1"
"Vervoer";"NMVOS";"2010";"    33.7"
"Vervoer";"NMVOS";"2011";"    33.6"
"Vervoer";"NMVOS";"2012";"    33.1"
"Vervoer";"NMVOS";"2013";"    32.4"
"Vervoer";"NMVOS";"2014";"    31.8"
"Vervoer";"NMVOS";"2015";"    32.1"
"Vervoer";"NMVOS";"2016";"    32.3"
"Vervoer";"NMVOS";"2017";"    32.3"
"Vervoer";"NMVOS";"2018";"    32.4"
"Vervoer";"NMVOS";"2019";"    31.9"
"Vervoer";"NMVOS";"2020";"    29.3"
"Vervoer";"NMVOS";"2021";"    29.5"
"Vervoer";"NMVOS";"2022";"    29.4"
"Vervoer";"NMVOS";"2023*";"    28.6"
"Vervoer";"PM10 (fijn stof)";"1990";"    25.0"
"Vervoer";"PM10 (fijn stof)";"1995";"    21.2"
"Vervoer";"PM10 (fijn stof)";"2000";"    20.0"
"Vervoer";"PM10 (fijn stof)";"2001";"    19.4"
"Vervoer";"PM10 (fijn stof)";"2002";"    18.8"
"Vervoer";"PM10 (fijn stof)";"2003";"    18.2"
"Vervoer";"PM10 (fijn stof)";"2004";"    17.7"
"Vervoer";"PM10 (fijn stof)";"2005";"    17.3"
"Vervoer";"PM10 (fijn stof)";"2006";"    17.0"
"Vervoer";"PM10 (fijn stof)";"2007";"    15.6"
"Vervoer";"PM10 (fijn stof)";"2008";"    13.7"
"Vervoer";"PM10 (fijn stof)";"2009";"    12.8"
"Vervoer";"PM10 (fijn stof)";"2010";"    12.1"
"Vervoer";"PM10 (fijn stof)";"2011";"    10.8"
"Vervoer";"PM10 (fijn stof)";"2012";"    10.1"
"Vervoer";"PM10 (fijn stof)";"2013";"     9.5"
"Vervoer";"PM10 (fijn stof)";"2014";"     9.5"
"Vervoer";"PM10 (fijn stof)";"2015";"     9.0"
"Vervoer";"PM10 (fijn stof)";"2016";"     8.1"
"Vervoer";"PM10 (fijn stof)";"2017";"     7.9"
"Vervoer";"PM10 (fijn stof)";"2018";"     8.0"
"Vervoer";"PM10 (fijn stof)";"2019";"     7.9"
"Vervoer";"PM10 (fijn stof)";"2020";"     7.2"
"Vervoer";"PM10 (fijn stof)";"2021";"     7.3"
"Vervoer";"PM10 (fijn stof)";"2022";"     7.4"
"Vervoer";"PM10 (fijn stof)";"2023*";"     7.1"
"Vervoer";"PM2.5 (fijn stof)";"1990";"    22.9"
"Vervoer";"PM2.5 (fijn stof)";"1995";"    19.0"
"Vervoer";"PM2.5 (fijn stof)";"2000";"    17.5"
"Vervoer";"PM2.5 (fijn stof)";"2001";"    16.9"
"Vervoer";"PM2.5 (fijn stof)";"2002";"    16.3"
"Vervoer";"PM2.5 (fijn stof)";"2003";"    15.7"
"Vervoer";"PM2.5 (fijn stof)";"2004";"    15.2"
"Vervoer";"PM2.5 (fijn stof)";"2005";"    14.7"
"Vervoer";"PM2.5 (fijn stof)";"2006";"    14.4"
"Vervoer";"PM2.5 (fijn stof)";"2007";"    13.1"
"Vervoer";"PM2.5 (fijn stof)";"2008";"    11.2"
"Vervoer";"PM2.5 (fijn stof)";"2009";"    10.3"
"Vervoer";"PM2.5 (fijn stof)";"2010";"     9.5"
"Vervoer";"PM2.5 (fijn stof)";"2011";"     8.3"
"Vervoer";"PM2.5 (fijn stof)";"2012";"     7.7"
"Vervoer";"PM2.5 (fijn stof)";"2013";"     7.1"
"Vervoer";"PM2.5 (fijn stof)";"2014";"     7.1"
"Vervoer";"PM2.5 (fijn stof)";"2015";"     6.6"
"Vervoer";"PM2.5 (fijn stof)";"2016";"     5.7"
"Vervoer";"PM2.5 (fijn stof)";"2017";"     5.4"
"Vervoer";"PM2.5 (fijn stof)";"2018";"     5.5"
"Vervoer";"PM2.5 (fijn stof)";"2019";"     5.3"
"Vervoer";"PM2.5 (fijn stof)";"2020";"     4.9"
"Vervoer";"PM2.5 (fijn stof)";"2021";"     4.9"
"Vervoer";"PM2.5 (fijn stof)";"2022";"     4.8"
"Vervoer";"PM2.5 (fijn stof)";"2023*";"     4.6"
"Vervoer";"Koolmonoxide (CO)";"1990";"   712.0"
"Vervoer";"Koolmonoxide (CO)";"1995";"   497.8"
"Vervoer";"Koolmonoxide (CO)";"2000";"   406.3"
"Vervoer";"Koolmonoxide (CO)";"2001";"   403.1"
"Vervoer";"Koolmonoxide (CO)";"2002";"   405.6"
"Vervoer";"Koolmonoxide (CO)";"2003";"   407.0"
"Vervoer";"Koolmonoxide (CO)";"2004";"   406.9"
"Vervoer";"Koolmonoxide (CO)";"2005";"   381.9"
"Vervoer";"Koolmonoxide (CO)";"2006";"   365.2"
"Vervoer";"Koolmonoxide (CO)";"2007";"   352.6"
"Vervoer";"Koolmonoxide (CO)";"2008";"   334.3"
"Vervoer";"Koolmonoxide (CO)";"2009";"   321.4"
"Vervoer";"Koolmonoxide (CO)";"2010";"   307.4"
"Vervoer";"Koolmonoxide (CO)";"2011";"   292.8"
"Vervoer";"Koolmonoxide (CO)";"2012";"   279.0"
"Vervoer";"Koolmonoxide (CO)";"2013";"   268.6"
"Vervoer";"Koolmonoxide (CO)";"2014";"   264.0"
"Vervoer";"Koolmonoxide (CO)";"2015";"   257.2"
"Vervoer";"Koolmonoxide (CO)";"2016";"   256.0"
"Vervoer";"Koolmonoxide (CO)";"2017";"   252.4"
"Vervoer";"Koolmonoxide (CO)";"2018";"   254.1"
"Vervoer";"Koolmonoxide (CO)";"2019";"   238.5"
"Vervoer";"Koolmonoxide (CO)";"2020";"   204.3"
"Vervoer";"Koolmonoxide (CO)";"2021";"   199.5"
"Vervoer";"Koolmonoxide (CO)";"2022";"   191.5"
"Vervoer";"Koolmonoxide (CO)";"2023*";"   183.5"
"Wegverkeer; totaal";"Kooldioxide (CO2)";"1990";" 24100.0"
"Wegverkeer; totaal";"Kooldioxide (CO2)";"1995";" 25700.0"
"Wegverkeer; totaal";"Kooldioxide (CO2)";"2000";" 28500.0"
"Wegverkeer; totaal";"Kooldioxide (CO2)";"2001";" 28800.0"
"Wegverkeer; totaal";"Kooldioxide (CO2)";"2002";" 29200.0"
"Wegverkeer; totaal";"Kooldioxide (CO2)";"2003";" 29500.0"
"Wegverkeer; totaal";"Kooldioxide (CO2)";"2004";" 30100.0"
"Wegverkeer; totaal";"Kooldioxide (CO2)";"2005";" 29300.0"
"Wegverkeer; totaal";"Kooldioxide (CO2)";"2006";" 29100.0"
"Wegverkeer; totaal";"Kooldioxide (CO2)";"2007";" 29300.0"
"Wegverkeer; totaal";"Kooldioxide (CO2)";"2008";" 28900.0"
"Wegverkeer; totaal";"Kooldioxide (CO2)";"2009";" 28400.0"
"Wegverkeer; totaal";"Kooldioxide (CO2)";"2010";" 28300.0"
"Wegverkeer; totaal";"Kooldioxide (CO2)";"2011";" 28000.0"
"Wegverkeer; totaal";"Kooldioxide (CO2)";"2012";" 27600.0"
"Wegverkeer; totaal";"Kooldioxide (CO2)";"2013";" 27000.0"
"Wegverkeer; totaal";"Kooldioxide (CO2)";"2014";" 26900.0"
"Wegverkeer; totaal";"Kooldioxide (CO2)";"2015";" 27300.0"
"Wegverkeer; totaal";"Kooldioxide (CO2)";"2016";" 28100.0"
"Wegverkeer; totaal";"Kooldioxide (CO2)";"2017";" 28400.0"
"Wegverkeer; totaal";"Kooldioxide (CO2)";"2018";" 28700.0"
"Wegverkeer; totaal";"Kooldioxide (CO2)";"2019";" 28600.0"
"Wegverkeer; totaal";"Kooldioxide (CO2)";"2020";" 25400.0"
"Wegverkeer; totaal";"Kooldioxide (CO2)";"2021";" 26300.0"
"Wegverkeer; totaal";"Kooldioxide (CO2)";"2022";" 27000.0"
"Wegverkeer; totaal";"Kooldioxide (CO2)";"2023*";" 27000.0"
"Wegverkeer; totaal";"Methaan (CH4)";"1990";"     7.0"
"Wegverkeer; totaal";"Methaan (CH4)";"1995";"     4.6"
"Wegverkeer; totaal";"Methaan (CH4)";"2000";"     3.3"
"Wegverkeer; totaal";"Methaan (CH4)";"2001";"     3.1"
"Wegverkeer; totaal";"Methaan (CH4)";"2002";"     3.0"
"Wegverkeer; totaal";"Methaan (CH4)";"2003";"     3.0"
"Wegverkeer; totaal";"Methaan (CH4)";"2004";"     2.9"
"Wegverkeer; totaal";"Methaan (CH4)";"2005";"     2.6"
"Wegverkeer; totaal";"Methaan (CH4)";"2006";"     2.4"
"Wegverkeer; totaal";"Methaan (CH4)";"2007";"     2.2"
"Wegverkeer; totaal";"Methaan (CH4)";"2008";"     2.0"
"Wegverkeer; totaal";"Methaan (CH4)";"2009";"     1.8"
"Wegverkeer; totaal";"Methaan (CH4)";"2010";"     1.9"
"Wegverkeer; totaal";"Methaan (CH4)";"2011";"     2.0"
"Wegverkeer; totaal";"Methaan (CH4)";"2012";"     2.1"
"Wegverkeer; totaal";"Methaan (CH4)";"2013";"     2.1"
"Wegverkeer; totaal";"Methaan (CH4)";"2014";"     2.2"
"Wegverkeer; totaal";"Methaan (CH4)";"2015";"     2.2"
"Wegverkeer; totaal";"Methaan (CH4)";"2016";"     2.3"
"Wegverkeer; totaal";"Methaan (CH4)";"2017";"     2.3"
"Wegverkeer; totaal";"Methaan (CH4)";"2018";"     2.4"
"Wegverkeer; totaal";"Methaan (CH4)";"2019";"     2.3"
"Wegverkeer; totaal";"Methaan (CH4)";"2020";"     2.0"
"Wegverkeer; totaal";"Methaan (CH4)";"2021";"     2.0"
"Wegverkeer; totaal";"Methaan (CH4)";"2022";"     2.0"
"Wegverkeer; totaal";"Methaan (CH4)";"2023*";"     2.0"
"Wegverkeer; totaal";"Distikstofoxide (N20)";"1990";"     0.3"
"Wegverkeer; totaal";"Distikstofoxide (N20)";"1995";"     0.8"
"Wegverkeer; totaal";"Distikstofoxide (N20)";"2000";"     0.9"
"Wegverkeer; totaal";"Distikstofoxide (N20)";"2001";"     0.9"
"Wegverkeer; totaal";"Distikstofoxide (N20)";"2002";"     0.8"
"Wegverkeer; totaal";"Distikstofoxide (N20)";"2003";"     0.8"
"Wegverkeer; totaal";"Distikstofoxide (N20)";"2004";"     0.8"
"Wegverkeer; totaal";"Distikstofoxide (N20)";"2005";"     0.8"
"Wegverkeer; totaal";"Distikstofoxide (N20)";"2006";"     0.9"
"Wegverkeer; totaal";"Distikstofoxide (N20)";"2007";"     0.9"
"Wegverkeer; totaal";"Distikstofoxide (N20)";"2008";"     1.0"
"Wegverkeer; totaal";"Distikstofoxide (N20)";"2009";"     1.0"
"Wegverkeer; totaal";"Distikstofoxide (N20)";"2010";"     1.0"
"Wegverkeer; totaal";"Distikstofoxide (N20)";"2011";"     1.1"
"Wegverkeer; totaal";"Distikstofoxide (N20)";"2012";"     1.1"
"Wegverkeer; totaal";"Distikstofoxide (N20)";"2013";"     1.1"
"Wegverkeer; totaal";"Distikstofoxide (N20)";"2014";"     1.1"
"Wegverkeer; totaal";"Distikstofoxide (N20)";"2015";"     1.1"
"Wegverkeer; totaal";"Distikstofoxide (N20)";"2016";"     1.2"
"Wegverkeer; totaal";"Distikstofoxide (N20)";"2017";"     1.2"
"Wegverkeer; totaal";"Distikstofoxide (N20)";"2018";"     1.2"
"Wegverkeer; totaal";"Distikstofoxide (N20)";"2019";"     1.2"
"Wegverkeer; totaal";"Distikstofoxide (N20)";"2020";"     1.1"
"Wegverkeer; totaal";"Distikstofoxide (N20)";"2021";"     1.2"
"Wegverkeer; totaal";"Distikstofoxide (N20)";"2022";"     1.2"
"Wegverkeer; totaal";"Distikstofoxide (N20)";"2023*";"     1.2"
"Wegverkeer; totaal";"Ammoniak (NH3)";"1990";"     0.9"
"Wegverkeer; totaal";"Ammoniak (NH3)";"1995";"     2.2"
"Wegverkeer; totaal";"Ammoniak (NH3)";"2000";"     4.4"
"Wegverkeer; totaal";"Ammoniak (NH3)";"2001";"     4.8"
"Wegverkeer; totaal";"Ammoniak (NH3)";"2002";"     5.1"
"Wegverkeer; totaal";"Ammoniak (NH3)";"2003";"     5.2"
"Wegverkeer; totaal";"Ammoniak (NH3)";"2004";"     5.4"
